Write a Review,Rédigez un avis,
write a review,Rédigez un avis,
Ask a question,Posez une question,
ASK A QUESTION,Posez une question,
Quantity:,Quantité,
Added to your basket,L'article a été ajouté à votre panier,
View cart,Voir le panier,
Add to wishlist,Ajouter à la Wishlist,
Top Quality Products,Produits de Qualité,
We only sell top quality products,Grande sélection de produits de choix,
Delivery,Livraison,
Product Specifications,Caractéristiques,
Customer Questions & Answers,Questions et réponses de clients,
Question,Questions,
Answers,Réponses,
Have a Question,Posez une question,
Get answers from experts and customers who have used this item,Obtenez une réponse de notre équipe ou de clients ayant acheté le Produit,
Product Questions,Votre question sur un produit,
Your name,Votre nom,
Have a question? Ask the owners here.,Une question ? Posez-la ici,
SUBMIT YOUR QUESTION,Envoyez votre question,
SUBMIT YOUR QUESTION,Soumettre votre question à la communauté,
You May Also Like,Vous aimerez aussi,
Rating,Note,
Required Fields,Champ Obligatoire,
Review Title,Titre de l'avis,
Summary of Your Review,Résumé de l'avis,
Do you want to recommend this product?,Recommandez ce produit ?,
Submit Review,Envoyez votre avis,
What our Customers say about us,Avis des clients,
Enter your email address here,Votre adresse e-mail,
Read Our Blog,Blog,
Track Order,Suivi de commande,
My Account,Mon compte,
Cart,Mon panier,
Search,Rechercher,
Search entire store here...,Chercher sur tout le site,
Related Products,Nous vous recommandons ,
Product Description,Description,
Off,,
General,Général,
Orders,Commande,
Delivery,Livraison,
Product Information,Produit,
Payment,Paiement,
Website,Autres Questions,
A,R,
<strong>%s&#37; Off</strong> - Save a total of,<strong>-%s&#37;</strong> économisez,
Enter your email,Votre adresse e-mail,
Safe & Secure Payments,paiement sécurisé,
Submit your question to our community.,Soumettre votre question à la communauté,
Your Swatches,Votre échantillon,
Free Fabric Sample Available - Click Here To Add,Échantillon disponible -  Cliquez pour ajouter,
Swatch Added Successfully,L'échantillon a bien été ajouté,
Email me when available,M'informer dès la disponibilité,
Notify Me,M'informer par mail,
Sort By,Trier par,
Sort By:,Trier par:,
Best Seller,Nos meilleures ventes,
Price - Low to High,Prix croissant,
Price - High to Low,Prix décroissant,
Recommended For You,Homescapes vous recommande,
Unit Price,Prix,
Unit price,Prix,
Remove,Supprimer,
remove,Supprimer,
Edit,Modifier,
edit,Modifier,
you have qualified for free standard UK delivery on this order,Cette commande bénéficie de la livraison Gratuite,
Order Summary,Récapitulatif,
Shipping and taxes are estimated and will be updated during checkout based on your billing and shipping information.,Les frais réels vous seront indiqués lors de la validation de votre commande.,
Total Items,Total Articles ,
Total Items:,Total Articles:,
Forgotten your password,Mot de passe oublié ?,
Forgotten your password?,Mot de passe oublié ?,
Returning Customers,Déjà Client ?,
Recommended for you,Homescapes vous recommande,
Sign in to speed up your checkout process,Gagnez du temps en créant votre compte,
Credit or Debit Card,Carte bancaire ,
You will complete your payment via PayPal after the order review step.,Payez votre commande sur le serveur sécurisé de Paypal. Elle sera enregistrée lorsque vous aurez validé votre paiement.,
Frequently Asked Questions,Questions fréquentes,
Votes,Note,
Add  Comment,Ajouter un commentaire,
BY,Posté par,
By,Posté par,
Be the first to answer this question,Soyez le premier à répondre à cette question,
Your Name,Votre nom,
Your email,Votre e-mail,
email,e-mail,
Answer here...,Votre réponse ici...,
Answer,Réponse,
Hide answer,Questions,Tout dérouler 
See more answers,Question,Voir plus 
"No, I do not recommend this product","Non, je ne recommande pas ce produit",
"Yes, I recommend this product","Oui, je recommande ce produit",
Quality,Qualité,
quality,Qualité,
